0.4921 	WARNING 	Movie2 stim could not be imported and won't be available
27.8695 	EXP 	New trial (rep=0, index=5): {u'colour': u'blue', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
27.8722 	EXP 	window1: recordFrameIntervals = False
27.8858 	EXP 	text: autoDraw = False
27.8858 	EXP 	text_2: autoDraw = False
27.8858 	EXP 	text_3: autoDraw = False
27.8858 	EXP 	text_3: color = u'blue (named)'
27.8858 	EXP 	text_3: text = u'green'
27.8858 	EXP 	text: autoDraw = True
27.8859 	EXP 	window1: recordFrameIntervals = False
28.8864 	EXP 	text: autoDraw = False
29.4043 	EXP 	text_2: autoDraw = True
30.3853 	EXP 	text_2: autoDraw = False
30.8860 	EXP 	text_3: autoDraw = True
31.6539 	DATA 	Keypress: left
31.6710 	EXP 	New trial (rep=0, index=6): {u'colour': u'green', u'word': u'red', u'congruent': 0, u'corrAns': u'right'}
31.6731 	EXP 	window1: recordFrameIntervals = False
31.6868 	EXP 	text: autoDraw = False
31.6868 	EXP 	text_2: autoDraw = False
31.6868 	EXP 	text_3: autoDraw = False
31.6868 	EXP 	text_3: color = u'green (named)'
31.6868 	EXP 	text_3: text = u'red'
31.6868 	EXP 	text: autoDraw = True
31.6869 	EXP 	window1: recordFrameIntervals = False
32.6864 	EXP 	text: autoDraw = False
33.2029 	EXP 	text_2: autoDraw = True
34.1873 	EXP 	text_2: autoDraw = False
34.7034 	EXP 	text_3: autoDraw = True
35.5034 	DATA 	Keypress: left
35.5046 	EXP 	New trial (rep=0, index=7): {u'colour': u'yellow', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
35.5069 	EXP 	window1: recordFrameIntervals = False
35.5203 	EXP 	text: autoDraw = False
35.5203 	EXP 	text_2: autoDraw = False
35.5203 	EXP 	text_3: autoDraw = False
35.5203 	EXP 	text_3: color = u'yellow (named)'
35.5203 	EXP 	text_3: text = u'blue'
35.5203 	EXP 	text: autoDraw = True
35.5203 	EXP 	window1: recordFrameIntervals = False
36.5214 	EXP 	text: autoDraw = False
37.0381 	EXP 	text_2: autoDraw = True
38.0208 	EXP 	text_2: autoDraw = False
38.5381 	EXP 	text_3: autoDraw = True
39.2548 	DATA 	Keypress: right
39.2555 	EXP 	New trial (rep=1, index=0): {u'colour': u'red', u'word': u'red', u'congruent': 1, u'corrAns': u'left'}
39.2577 	EXP 	window1: recordFrameIntervals = False
39.2714 	EXP 	text: autoDraw = False
39.2714 	EXP 	text_2: autoDraw = False
39.2714 	EXP 	text_3: autoDraw = False
39.2714 	EXP 	text_3: color = u'red (named)'
39.2714 	EXP 	text_3: text = u'red'
39.2714 	EXP 	text: autoDraw = True
39.2716 	EXP 	window1: recordFrameIntervals = False
40.2713 	EXP 	text: autoDraw = False
40.7882 	EXP 	text_2: autoDraw = True
