0.3619 	WARNING 	Movie2 stim could not be imported and won't be available
25.3136 	EXP 	text_3: autoDraw = False
25.3136 	EXP 	text_3: color = u'red (named)'
25.3136 	EXP 	text_3: text = u'red'
25.3136 	EXP 	text: autoDraw = True
25.3137 	EXP 	window1: recordFrameIntervals = False
26.3123 	EXP 	text: autoDraw = False
26.8292 	EXP 	text_2: autoDraw = True
27.8158 	EXP 	text_2: autoDraw = False
28.3306 	EXP 	text_3: autoDraw = True
29.0296 	DATA 	Keypress: left
29.0301 	EXP 	New trial (rep=0, index=5): {u'colour': u'blue', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
29.0326 	EXP 	window1: recordFrameIntervals = False
29.0460 	EXP 	text: autoDraw = False
29.0460 	EXP 	text_2: autoDraw = False
29.0460 	EXP 	text_3: autoDraw = False
29.0460 	EXP 	text_3: color = u'blue (named)'
29.0460 	EXP 	text_3: text = u'green'
29.0460 	EXP 	text: autoDraw = True
29.0462 	EXP 	window1: recordFrameIntervals = False
30.0476 	EXP 	text: autoDraw = False
30.5470 	EXP 	text_2: autoDraw = True
31.5482 	EXP 	text_2: autoDraw = False
32.0474 	EXP 	text_3: autoDraw = True
32.7138 	DATA 	Keypress: right
32.7144 	EXP 	New trial (rep=0, index=6): {u'colour': u'green', u'word': u'red', u'congruent': 0, u'corrAns': u'right'}
32.7164 	EXP 	window1: recordFrameIntervals = False
32.7310 	EXP 	text: autoDraw = False
32.7310 	EXP 	text_2: autoDraw = False
32.7310 	EXP 	text_3: autoDraw = False
32.7310 	EXP 	text_3: color = u'green (named)'
32.7310 	EXP 	text_3: text = u'red'
32.7310 	EXP 	text: autoDraw = True
32.7310 	EXP 	window1: recordFrameIntervals = False
33.7335 	EXP 	text: autoDraw = False
34.2313 	EXP 	text_2: autoDraw = True
35.2318 	EXP 	text_2: autoDraw = False
35.7322 	EXP 	text_3: autoDraw = True
36.3982 	DATA 	Keypress: left
36.3987 	EXP 	New trial (rep=0, index=7): {u'colour': u'yellow', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
36.4009 	EXP 	window1: recordFrameIntervals = False
36.4155 	EXP 	text: autoDraw = False
36.4155 	EXP 	text_2: autoDraw = False
36.4155 	EXP 	text_3: autoDraw = False
36.4155 	EXP 	text_3: color = u'yellow (named)'
36.4155 	EXP 	text_3: text = u'blue'
36.4155 	EXP 	text: autoDraw = True
36.4156 	EXP 	window1: recordFrameIntervals = False
37.4157 	EXP 	text: autoDraw = False
37.9144 	EXP 	text_2: autoDraw = True
38.9162 	EXP 	text_2: autoDraw = False
39.4161 	EXP 	text_3: autoDraw = True
40.3357 	DATA 	Keypress: right
