0.3619 	WARNING 	Movie2 stim could not be imported and won't be available
5.4581 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0xe1e10f8>, name='window1', pos=[0, 0], screen=0, size=array([2560, 1440]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
5.4581 	EXP 	window1: recordFrameIntervals = False
5.6238 	EXP 	window1: recordFrameIntervals = True
5.8411 	EXP 	window1: recordFrameIntervals = False
5.9392 	EXP 	Created instructionText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='instructionText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
5.9430 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'XXXXXX', units=u'norm', win=Window(...), wrapWidth=1)
5.9461 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'blue', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([   0.,    0.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
5.9514 	EXP 	Created text_3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text_3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 1.,  1.,  1.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
5.9578 	EXP 	instructionText: autoDraw = True
10.1919 	DATA 	Keypress: left
10.1964 	EXP 	Imported psychopy_playing_conditions.xlsx as conditions, 8 conditions, 4 params
10.1966 	EXP 	Created sequence: random, trialTypes=8, nReps=1, seed=666
10.1971 	EXP 	New trial (rep=0, index=0): {u'colour': u'green', u'word': u'blue', u'congruent': 0, u'corrAns': u'right'}
10.2007 	EXP 	window1: recordFrameIntervals = False
10.2087 	EXP 	instructionText: autoDraw = False
10.2087 	EXP 	text_3: color = u'green (named)'
10.2087 	EXP 	text_3: text = u'blue'
10.2087 	EXP 	text: autoDraw = True
10.2087 	EXP 	window1: recordFrameIntervals = False
11.2099 	EXP 	text: autoDraw = False
11.7258 	EXP 	text_2: autoDraw = True
12.7090 	EXP 	text_2: autoDraw = False
13.2262 	EXP 	text_3: autoDraw = True
14.3434 	DATA 	Keypress: left
14.3442 	EXP 	New trial (rep=0, index=1): {u'colour': u'yellow', u'word': u'yellow', u'congruent': 1, u'corrAns': u'left'}
14.3474 	EXP 	window1: recordFrameIntervals = False
14.3595 	EXP 	text: autoDraw = False
14.3595 	EXP 	text_2: autoDraw = False
14.3595 	EXP 	text_3: autoDraw = False
14.3595 	EXP 	text_3: color = u'yellow (named)'
14.3595 	EXP 	text_3: text = u'yellow'
14.3595 	EXP 	text: autoDraw = True
14.3596 	EXP 	window1: recordFrameIntervals = False
15.3601 	EXP 	text: autoDraw = False
15.8773 	EXP 	text_2: autoDraw = True
16.8616 	EXP 	text_2: autoDraw = False
17.3773 	EXP 	text_3: autoDraw = True
17.8958 	DATA 	Keypress: left
17.8964 	EXP 	New trial (rep=0, index=2): {u'colour': u'blue', u'word': u'yellow', u'congruent': 0, u'corrAns': u'right'}
17.8989 	EXP 	window1: recordFrameIntervals = False
17.9103 	EXP 	text: autoDraw = False
17.9103 	EXP 	text_2: autoDraw = False
17.9103 	EXP 	text_3: autoDraw = False
17.9103 	EXP 	text_3: color = u'blue (named)'
17.9103 	EXP 	text_3: text = u'yellow'
17.9103 	EXP 	text: autoDraw = True
17.9105 	EXP 	window1: recordFrameIntervals = False
18.9105 	EXP 	text: autoDraw = False
19.4270 	EXP 	text_2: autoDraw = True
20.4116 	EXP 	text_2: autoDraw = False
20.9280 	EXP 	text_3: autoDraw = True
21.6789 	DATA 	Keypress: right
21.6795 	EXP 	New trial (rep=0, index=3): {u'colour': u'red', u'word': u'green', u'congruent': 0, u'corrAns': u'right'}
21.6824 	EXP 	window1: recordFrameIntervals = False
21.6951 	EXP 	text: autoDraw = False
21.6951 	EXP 	text_2: autoDraw = False
21.6951 	EXP 	text_3: autoDraw = False
21.6951 	EXP 	text_3: color = u'red (named)'
21.6951 	EXP 	text_3: text = u'green'
21.6951 	EXP 	text: autoDraw = True
21.6952 	EXP 	window1: recordFrameIntervals = False
22.6950 	EXP 	text: autoDraw = False
23.2139 	EXP 	text_2: autoDraw = True
24.1955 	EXP 	text_2: autoDraw = False
24.6961 	EXP 	text_3: autoDraw = True
25.2965 	DATA 	Keypress: right
25.2971 	EXP 	New trial (rep=0, index=4): {u'colour': u'red', u'word': u'red', u'congruent': 1, u'corrAns': u'left'}
25.2994 	EXP 	window1: recordFrameIntervals = False
25.3136 	EXP 	text: autoDraw = False
25.3136 	EXP 	text_2: autoDraw = False
