***************
Date: Sun Jul  5 11:54:00 2015
Seed: 115010204527375779109261515748598771347
ID: 006
CONDS: rbp / r

SID,PHASE,COLOR,CONDITION,WORD,FIXATIONON,PRECUEON,WORDON,FIXATIONOFF,PRECUEOFF,WORDOFF,RESPONSE,EXPECTED,ACCURACY,RT
006,STUDY0,rbp,NULL,NULL,0.003350,-1.000000,-1.000000,2.202542,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,NULL,NULL,2.203001,-1.000000,-1.000000,4.402546,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,NULL,NULL,4.403001,-1.000000,-1.000000,6.602549,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,NULL,NULL,6.603003,-1.000000,-1.000000,8.802552,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,NULL,NULL,8.803029,-1.000000,-1.000000,11.002555,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,S,glass,11.031066,11.281067,12.031066,11.281066,12.031066,14.531066,NONE,NONE,-1,-1.000
006,STUDY0,rbp,Y,basket,14.531640,14.781640,15.531640,14.781640,15.531640,18.031640,NONE,NONE,-1,-1.000
006,STUDY0,rbp,S,record,18.032274,18.282274,19.032274,18.282274,19.032274,21.532274,NONE,NONE,-1,-1.000
006,STUDY0,rbp,S,market,21.532856,21.782856,22.532857,21.782856,22.532856,25.032856,NONE,NONE,-1,-1.000
006,STUDY0,rbp,S,invention,25.033428,25.283428,26.033428,25.283428,26.033428,28.533428,NONE,NONE,-1,-1.000
006,STUDY0,rbp,NULL,NULL,28.533882,-1.000000,-1.000000,30.733449,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,NULL,NULL,30.733897,-1.000000,-1.000000,32.933452,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,P,avenue,32.960835,33.210835,33.960835,33.210835,33.960835,36.460835,NONE,NONE,-1,-1.000
006,STUDY0,rbp,S,friend,36.461406,36.711406,37.461406,36.711406,37.461406,39.961406,NONE,NONE,-1,-1.000
006,STUDY0,rbp,P,building,39.961982,40.211982,40.961982,40.211982,40.961982,43.461982,NONE,NONE,-1,-1.000
006,STUDY0,rbp,NULL,NULL,43.462533,-1.000000,-1.000000,45.662017,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,P,education,45.687951,45.937951,46.687951,45.937951,46.687951,49.187951,NONE,NONE,-1,-1.000
006,STUDY0,rbp,Y,trousers,49.188520,49.438521,50.188520,49.438520,50.188520,52.688520,NONE,NONE,-1,-1.000
006,STUDY0,rbp,NULL,NULL,52.689000,-1.000000,-1.000000,54.888553,-1.000000,-1.000000,NONE,NONE,-1,-1.000
006,STUDY0,rbp,Y,leather,54.917917,55.167917,55.917917,55.167917,55.917917,58.417917,NONE,NONE,-1,-1.000
